Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1001927;ZSTO;DISCO CORTE 178X1.6X22 SECUR EXTRA  x UN;374;RE;500;500;FERRETERIA;350;;350;70,00%;29/9/2026;124;
1001867;ZSTO;MARCADOR INDUSTRIAL-BLANCOXUN;374;RE;240;240;LIBRERIA;168;;168;70,00%;29/9/2026;37;
1001880;ZSTO;MARCADOR INDUSTRIAL - AZUL UNIPAINT X UN;374;RE;200;200;LIBRERIA;140;;140;70,00%;29/9/2026;30;
1002066;ZSTO;PANTALON PRIMERA PIEL T.L;374;RE;45;45;SEGURIDAD;32;;32;71,11%;29/9/2026;15;
1002016;ZSTO;PANTALON JEAN T.48;374;RE;32;32;ROPA;23;;23;71,88%;29/9/2026;16;
1001960;ZSTO;CINTA AISLADORA AMARILLO X10MT;374;RE;50;50;FERRETERIA;36;;36;72,00%;29/9/2026;1;
1002053;ZSTO;CAMPERA 2 PIEL T. XXL;374;RE;50;50;SEGURIDAD;36;;36;72,00%;29/9/2026;10;
1002003;ZSTO;CAMISA JEAN T.44 C LOGO;374;RE;36;36;ROPA;26;;26;72,22%;29/9/2026;5;
1042515;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N41;374;RE;65;65;SEGURIDAD;47;;47;72,31%;29/9/2026;9;
1015866;ZSSD;TRAPO DE PISO X UN;374;RE;77;77;LIMPIEZA;56;;56;72,73%;29/9/2026;31;
1017034;ZSSD;TIJERA 17 CM C MANGO PLASTICO;374;RE;11;11;LIBRERIA;1;7;8;72,73%;29/9/2026;2;
1001778;ZSTO;YERBA MATE X 500GRS X UN;374;RE;1000;1000;ALIMENTOS;300;430;730;73,00%;29/9/2026;210;
1001707;ZSTO;CHALECOGRAFANARANJACONREFLETIVOT.XLC2;374;RE;120;120;SEGURIDAD;89;;89;74,17%;29/9/2026;17;
1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;374;RE;2000;2000;SEGURIDAD;1488;;1488;74,40%;29/9/2026;602;
1001737;ZSTO;CRIQUETTENSORCONFAJA9METROSX10CMSGPLANO;374;RE;8;8;SEGURIDAD;6;;6;75,00%;29/9/2026;#N/D;
1001706;ZSTO;GUANTE LATEX USO MEDICINAL CAJA X 100 UN;374;RE;4;4;SEGURIDAD;3;;3;75,00%;29/9/2026;1;
1042520;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N46;374;RE;4;4;SEGURIDAD;3;;3;75,00%;29/9/2026;3;
1042514;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N40;374;RE;45;45;SEGURIDAD;34;;34;75,56%;29/9/2026;10;
1001876;ZSTO;CINTA EMBALAR TRANSPARENTE 48MM X 100 MT;374;RE;80;80;LIBRERIA;61;;61;76,25%;29/9/2026;21;
1016988;ZSSD;CINTA METRICA 3MT;374;RE;102;102;FERRETERIA;78;;78;76,47%;29/9/2026;7;
1046936;ZSCD;GUANTE LATEX NEGRO INDUSTRIAL T8 XPAR;374;RE;13;13;INDUMENTARIA;7;3;10;76,92%;29/9/2026;#N/D;
1016954;ZSSD;TANZA 0.80MM -COLOR ROJO- XROLLO;374;RE;52;52;FERRETERIA;40;;40;76,92%;29/9/2026;15;
1001896;ZSTO;PULVERIZADOR P ALCOHOL LIQUIDO 500 ML;374;RE;13;13;LIMPIEZA;10;;10;76,92%;29/9/2026;5;
1015790;ZSSD;ESPONJA P/LAVAR VAJILLA X UN;374;RE;26;26;LIMPIEZA;20;;20;76,92%;29/9/2026;13;
1042516;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N42;374;RE;70;70;SEGURIDAD;54;;54;77,14%;29/9/2026;11;
1042798;ZSCD;GUANTE LÁTEX NEGRO INDUSTRIAL T10;374;RE;450;450;INDUMENTARIA;95;255;350;77,78%;29/9/2026;134;
1049436;ZSCD;MARTILLO CARPINTERO C/CABO DE FIBRA;374;RE;45;45;FERRETERIA;35;;35;77,78%;29/9/2026;13;
1002067;ZSTO;PANTALON PRIMERA PIEL T.XL;374;RE;46;46;SEGURIDAD;36;;36;78,26%;29/9/2026;9;
1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;374;RE;1800;1800;SEGURIDAD;1412;;1412;78,44%;29/9/2026;240;
1001683;ZSTO;RESPIRADOR PARA POLVOSTIPON95CAJAX20UN;374;RE;14;14;SEGURIDAD;11;;11;78,57%;29/9/2026;4;
1017090;ZSSD;ESPATULA METALICA 3PG;374;RE;5;5;FERRETERIA;4;;4;80,00%;29/9/2026;#N/D;
1002046;ZSTO;CAMISETA PRIMERA PIEL T.XL;374;RE;42;42;SEGURIDAD;34;;34;80,95%;29/9/2026;4;
1001949;ZSTO;CANDADO 30MM XUN;374;RE;16;16;FERRETERIA;13;;13;81,25%;29/9/2026;6;
1001887;ZSTO;BOLSAS RESIDUOS XUN 102X130 AMARILLA;374;RE;1120;1120;LIMPIEZA;920;;920;82,14%;29/9/2026;300;
1002047;ZSTO;CAMISETA PRIMERA PIEL T.XXL;374;RE;34;34;SEGURIDAD;28;;28;82,35%;29/9/2026;3;
1002004;ZSTO;CAMISA JEAN T.46 C LOGO;374;RE;46;46;ROPA;38;;38;82,61%;29/9/2026;24;
1026805;ZSTO;PILA ALCALINA AA x UN;374;RE;35;35;FERRETERIA;7;22;29;82,86%;29/9/2026;12;
1016965;ZSSD;PORTABLOCK ACRILICO C CLIP SUPERIOR;374;RE;35;35;LIBRERIA;3;26;29;82,86%;29/9/2026;17;
1025949;ZSSD;MECHA ACERO RAPIDO D10 MM;374;RE;12;12;FERRETERIA;10;;10;83,33%;29/9/2026;7;
1002070;ZSTO;CAMPERA DESCARNE T.XXL;374;RE;6;6;SEGURIDAD;5;;5;83,33%;29/9/2026;3;
1016920;ZSSD;SOGA NAUTICA 12MM;374;RE;600;600;FERRETERIA;500;;500;83,33%;29/9/2026;200;
1001923;ZSTO;AGROPOL 100 MIC 4X50MTS;374;RE;20;20;FERRETERIA;17;;17;85,00%;29/9/2026;10;
1001950;ZSTO;CANDADO 38-40MM XUN;374;RE;20;20;FERRETERIA;17;;17;85,00%;29/9/2026;12;
1015780;ZSSD;CINTA METRICA X 10 MTS;374;RE;100;100;FERRETERIA;85;;85;85,00%;29/9/2026;10;
1017050;ZSSD;BOBINA PAPEL 25CM 400MT;374;RE;40;40;LIMPIEZA;24;10;34;85,00%;29/9/2026;11;
1047515;ZSCD;TANZA 1MM AMARILLA XROLLO 80M;374;RE;35;35;FERRETERIA;30;;30;85,71%;29/9/2026;#N/D;
1002049;ZSTO;CAMPERA 2 PIEL T. S;374;RE;22;22;SEGURIDAD;19;;19;86,36%;29/9/2026;10;
1002002;ZSTO;CAMISA JEAN T.42 C LOGO;374;RE;44;44;ROPA;38;;38;86,36%;29/9/2026;13;
1002017;ZSTO;PANTALON JEAN T.50;374;RE;22;22;ROPA;19;;19;86,36%;29/9/2026;8;
1001952;ZSTO;TRAPO LIMPIO (BOLSAX10KG) XUN;374;RE;15;15;FERRETERIA;8;5;13;86,67%;29/9/2026;5;
1016938;ZSSD;SILICONA LIQUIDA BRILLO SILICONADO X5LT;374;RE;15;15;LIMPIEZA;13;;13;86,67%;29/9/2026;#N/D;
1002056;ZSTO;CAMPERA ABRIGO T. S ROJA CON LOGO;374;RE;26;26;ROPA;23;;23;88,46%;29/9/2026;4;
1016894;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GRXXL;374;RE;700;700;SEGURIDAD;625;;625;89,29%;29/9/2026;175;
1001878;ZSTO;CINTA DE ENMASCARAR 48MM X ROLLO;374;RE;140;140;LIBRERIA;113;12;125;89,29%;29/9/2026;31;
1001868;ZSTO;FILMSTRECHMANUALXBOBINAx2,70KG;374;RE;10;10;LIBRERIA;9;;9;90,00%;29/9/2026;4;
1002018;ZSTO;PANTALON JEAN T.52;374;RE;21;21;ROPA;19;;19;90,48%;29/9/2026;9;
1015783;ZSSD;CINTA REFLECTIVA ROJA X MTS;374;RE;55;55;SEGURIDAD;;50;50;90,91%;29/9/2026;50;
1017045;ZSSD;SECADOR DE PISO 30CM;374;RE;12;12;LIMPIEZA;11;;11;91,67%;29/9/2026;9;
1002000;ZSTO;CAMISA JEAN T.38 C LOGO;374;RE;25;25;ROPA;23;;23;92,00%;29/9/2026;14;
1001997;ZSTO;ELECTRODO 6013 X 2 MM X KG;374;RE;65;65;SOLDADURA;60;;60;92,31%;29/9/2026;#N/D;
1001985;ZSTO;VIDRIOP CARETASOLDADOR50X105MMINCOLORO;374;RE;15;15;SOLDADURA;14;;14;93,33%;29/9/2026;2;
1002068;ZSTO;PANTALON PRIMERA PIEL T.XXL;374;RE;30;30;SEGURIDAD;28;;28;93,33%;29/9/2026;5;
1002013;ZSTO;PANTALON JEAN T.42;374;RE;30;30;ROPA;28;;28;93,33%;29/9/2026;20;
1002012;ZSTO;PANTALON JEAN T.40;374;RE;30;30;ROPA;28;;28;93,33%;29/9/2026;37;
1001959;ZSTO;CINTA TEFLON 3/4 X 20MT;374;RE;15;15;FERRETERIA;14;;14;93,33%;29/9/2026;7;
1001969;ZSTO;ESMALTE SINT. AEROSOL BLANCO X440CC;374;RE;65;65;PINTURAS;61;;61;93,85%;29/9/2026;8;
1016927;ZSSD;CLAVERA SIMPLE;374;RE;50;50;FERRETERIA;47;;47;94,00%;29/9/2026;10;
1042518;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N44;374;RE;18;18;SEGURIDAD;17;;17;94,44%;29/9/2026;10;
1047701;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.M;374;RE;40;40;INDUMENTARIA;28;10;38;95,00%;29/9/2026;11;
1016919;ZSSD;LUBRICANTE MULTIUSO WD-40 440CC;374;RE;90;90;FERRETERIA;87;;87;96,67%;29/9/2026;37;
1002005;ZSTO;CAMISA JEAN T.48 C LOGO;374;RE;30;30;ROPA;29;;29;96,67%;29/9/2026;24;
1002001;ZSTO;CAMISA JEAN T.40 C LOGO;374;RE;30;30;ROPA;29;;29;96,67%;29/9/2026;13;
1034240;ZSSD;CHALECO GRAFA NARANJA C/REFLECTIVO T.XXL;374;RE;65;65;SEGURIDAD;18;45;63;96,92%;29/9/2026;28;
1001970;ZSTO;ESMALTE SINT. AEROSOL NEGRO X440CC;374;RE;45;45;PINTURAS;44;;44;97,78%;29/9/2026;#N/D;
