Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1016929;ZSSD;FRATACHO MADERA 30CM XUN;374;RE;30;30;FERRETERIA;30;;30;100,00%;29/9/2026;9;
1016931;ZSSD;CARRETILLA 75LT REFORZADA C RUEDA NEUMAT;374;RE;10;10;FERRETERIA;10;;10;100,00%;29/9/2026;3;
1002061;ZSTO;CAMPERA ABRIGO T. XXXL ROJA CON LOGO;374;RE;25;25;ROPA;25;;25;100,00%;29/9/2026;10;
1016955;ZSSD;SOGA NAUTICA 10MM;374;RE;600;600;FERRETERIA;600;;600;100,00%;29/9/2026;200;
1001993;ZSTO;ELECTRODO AWS7018 X 3,25 MM X KG;374;RE;32;32;SOLDADURA;32;;32;100,00%;29/9/2026;30;
1002019;ZSTO;PANTALON JEAN T.54;374;RE;15;15;ROPA;15;;15;100,00%;29/9/2026;7;
1002011;ZSTO;PANTALON JEAN T.38;374;RE;10;10;ROPA;10;;10;100,00%;29/9/2026;52;
1016982;ZSSD;FOLIO A4 ST X100;374;RE;24;24;LIBRERIA;14;10;24;100,00%;29/9/2026;13;
1016983;ZSSD;CUCHARA ALBANIL FORJADA 7PG;374;RE;30;30;FERRETERIA;30;;30;100,00%;29/9/2026;8;
1002008;ZSTO;CAMISA JEAN T.54 C LOGO;374;RE;8;8;ROPA;8;;8;100,00%;29/9/2026;5;
1017003;ZSSD;BATERIA 9V;374;RE;11;11;FERRETERIA;6;5;11;100,00%;29/9/2026;8;
1017005;ZSSD;CADENA PLASTICA ROJA Y BLANCA X ML;374;RE;1000;1000;SEGURIDAD;1000;;1000;100,00%;29/9/2026;250;
1016968;ZSSD;PERFORADORA MET MIT 20-25 HJ C REGLA;374;RE;2;2;LIBRERIA;2;;2;100,00%;29/9/2026;1;
1017021;ZSSD;CUADERNO ESPIRAL CUAD A4 T.DURA 80 HJ;374;RE;14;14;LIBRERIA;4;10;14;100,00%;29/9/2026;10;
1017023;ZSSD;CUADERNO ESPIRAL RAY A4 T.DURA 80 HJ;374;RE;12;12;LIBRERIA;6;6;12;100,00%;29/9/2026;10;
1016963;ZSSD;RESALTADOR CELESTE PUNTA CHANFLEADA;374;RE;25;25;LIBRERIA;15;10;25;100,00%;29/9/2026;6;
1017019;ZSSD;ABROCHADORA PINZA N10;374;RE;7;7;LIBRERIA;4;3;7;100,00%;29/9/2026;2;
1017011;ZSSD;CUADERNO ESPIRAL RAY A4 T.SEMIDURA 80 HJ;374;RE;13;13;LIBRERIA;13;;13;100,00%;29/9/2026;4;
1033436;ZSTO;ACEITE HIDRAULICO MERAK 46 x 205L;374;RE;1;1;?;;1;1;100,00%;29/9/2026;#N/D;
1002007;ZSTO;CAMISA JEAN T.52 C LOGO;374;RE;14;14;ROPA;14;;14;100,00%;29/9/2026;15;
1041530;ZSSD;PRECINTO PLASTICO AL-2 X 104MM X 100UN;374;RE;50;50;FERRETERIA;52;;52;104,00%;29/9/2026;4;
1002051;ZSTO;CAMPERA 2 PIEL T. L;374;RE;40;40;SEGURIDAD;42;;42;105,00%;29/9/2026;#N/D;
1049535;ZSSD;GUANTES LATEX TALLE L;374;RE;16;16;LIMPIEZA;17;;17;106,25%;29/9/2026;12;
1002044;ZSTO;CAMISETA PRIMERA PIEL T.M;374;RE;27;27;SEGURIDAD;29;;29;107,41%;29/9/2026;12;
1046629;ZSTO;PROTECTOR SOLAR LABIAL 50FPS X3,4G;374;RE;500;500;SEGURIDAD;542;;542;108,40%;29/9/2026;238;
1001748;ZSTO;BOTA GOMA P.ACERO N 44;374;RE;8;8;SEGURIDAD;9;;9;112,50%;29/9/2026;5;
1016950;ZSSD;ARRANCAMOTOR AEROSOL WURTH START-RAPID;374;RE;15;15;FERRETERIA;17;;17;113,33%;29/9/2026;16;
1026806;ZSTO;PILA ALCALINA AAA x UN;374;RE;35;35;INSUMOS;40;;40;114,29%;29/9/2026;14;
1016957;ZSSD;SEPARADOR A4 PLASTICO C LENGUETAS;374;RE;20;20;LIBRERIA;23;;23;115,00%;29/9/2026;3;
1002048;ZSTO;CAMISETA PRIMERA PIEL T.XXXL;374;RE;18;18;SEGURIDAD;21;;21;116,67%;29/9/2026;3;
1001893;ZSTO;BOLSARESIDUPLASTICA60X90NEGRAXROLLOX10UN;374;RE;90;90;LIMPIEZA;54;51;105;116,67%;29/9/2026;19;
1002065;ZSTO;PANTALON PRIMERA PIEL T.M;374;RE;30;30;SEGURIDAD;35;;35;116,67%;29/9/2026;15;
