Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00374 TERMINAL PUNTA COLORADA;1022223;ZSTO;"ESCOBILLA HILUX 16"" L/2016+";TOYOTA ARG;85212-42130;MR01;374;V1;2;4;C03;EQUIPOS;REPUESTOS;AUTOMOTOR;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1022224;ZSTO;"ESCOBILLA HILUX 22"" L/2016+";TOYOTA ARG;85222-71010;MR01;374;V1;2;4;C03;EQUIPOS;REPUESTOS;AUTOMOTOR;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1022269;ZSTO;Filtro Aceite Motor;JOHN DEERE;MIU800650;MR01;374;V1;2;2;F03;FILTRO ACEITE;FILTROS;MINICARGADORA JD 324G;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1022798;ZSTO;CORREA;;T328202;MR01;374;V1;2;3;C03;EQUIPOS;CORREAS;?;KG;ZPAN;1000095139;ADJUDICADO;4500138389;;;;9/10/2026;9/9/2026;C03;10159784
00374 TERMINAL PUNTA COLORADA;1022812;ZSTO;CORREA COMPRESOR A/A;;04120-21766;MR01;374;V1;2;2;C03;EQUIPOS;EQUIPOS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1022823;ZSTO;CORREA POLY-V;;2V2903137A;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1022825;ZSTO;CORREAAPEZOIDAL;JOHN DEERE;R123307 // DZ119059;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1023822;ZSTO;PATIN CORTO;SERVICIOS;5T-8366;MR01;374;V1;2;2;C03;EQUIPOS;DESGASTE;CAT 140H;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1025339;ZSTO;CORREA VENTILADOR MOTOR;;5715360;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1025582;ZSTO;CORREA TRAPEZOIDAL;;6312244;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
